"animeName","score","ranked","popularity","membre"
"Mobile Suit Gundam Unicorn",8.13,396,1801,83937
"Detective Conan Movie 05: Countdown to Heaven",8.12,397,2398,53198
"Dragon Ball Super: Broly",8.12,398,631,269133
"Gintama°: Umai-mono wa Atomawashi ni Suru to Yokodorisareru kara Yappari Saki ni Kue",8.12,399,3345,28199
"Hyouka",8.12,400,84,1106192
"Kamisama Hajimemashita: Kamisama, Shiawase ni Naru",8.12,401,2496,48957
"Kanata no Astra",8.12,402,738,236226
"Kuragehime",8.12,403,875,199918
"Tsubasa: Shunraiki",8.12,404,2290,57246
"Tsuki ga Kirei",8.12,405,369,427854
"Tsukimonogatari",8.12,406,460,356222
"Uchouten Kazoku 2",8.12,407,2342,55351
"Saiki Kusuo no <U+03A8>-nan: <U+03A8>-shidou-hen",8.11,408,1121,155966
"Tamayura: Sotsugyou Shashin Part 4 - Ashita",8.11,409,5460,9056
"Tensei shitara Slime Datta Ken",8.11,410,101,992171
"Yuukoku no Moriarty",8.11,411,673,260059
"Zankyou no Terror",8.11,412,108,940900
"Ansatsu Kyoushitsu",8.11,413,33,1549233
"Diamond no Ace",8.11,414,856,202778
"Fate/Grand Carnival",8.11,415,3161,31505
"Ginga Eiyuu Densetsu: Arata Naru Tatakai no Overture",8.11,416,3316,28762
"Angel Beats!",8.1,417,19,1778979
"Gin no Saji",8.1,418,686,251483
"Gintama': Futon ni Haitte kara Buki Nokoshi ni Kizuite Neru ni Nerenai Toki mo Aru",8.1,419,3064,33551
"IDOLiSH7: Third Beat!",8.1,420,5084,10822
"Karakai Jouzu no Takagi-san 2",8.1,421,763,230866
"Kaze Tachinu",8.1,422,702,245679
"Kuroko no Basket",8.1,423,107,958077
"Kuroko no Basket: Saikou no Present Desu",8.1,424,1852,80930
"Mobile Suit Gundam 00 Second Season",8.1,425,1280,133628
"Ramayana: The Legend of Prince Rama",8.1,426,7096,4727
"Saint Seiya: The Lost Canvas - Meiou Shinwa 2",8.1,427,2138,64742
"Skip Beat!",8.1,428,734,236260
"Mobile Suit Gundam: The Origin - Advent of the Red Comet",8.09,429,4562,14196
"Natsume Yuujinchou: Ishi Okoshi to Ayashiki Raihousha",8.09,430,3744,22617
"Pui Pui Molcar",8.09,431,5516,8927
"Yowamushi Pedal: Grande Road",8.09,432,1410,116199
"Akatsuki no Yona OVA",8.09,433,1455,110319
"Darker than Black: Kuro no Keiyakusha",8.09,434,134,816999
"Doupo Cangqiong 4th Season",8.09,435,8823,2456
"Ginga Eiyuu Densetsu: Die Neue These - Seiran 2",8.09,436,4242,16976
"Gintama: Nanigoto mo Saiyo ga Kanjin nano de Tasho Senobisuru Kurai ga Choudoyoi",8.09,437,2499,48925
"Hajime no Ippo: Boxer no Kobushi",8.09,438,2680,42529
"Hikaru no Go",8.09,439,1386,119142
"JoJo no Kimyou na Bouken Part 3: Stardust Crusaders",8.09,440,121,877999
"Koukaku Kidoutai: Stand Alone Complex - The Laughing Man",8.09,441,2937,36161
"Kuroshitsuji: Book of Circus",8.09,442,493,335123
"Mirai Shounen Conan",8.09,443,2774,39724
"Dennou Coil",8.08,444,1319,127805
"Detective Conan Movie 08: Magician of the Silver Sky",8.08,445,2539,47456
"Detective Conan Movie 18: The Sniper from Another Dimension",8.08,446,2999,34770
"Dorohedoro",8.08,447,439,371603
"Durarara!!x2 Ketsu",8.08,448,501,328359
"Ginga Eiyuu Densetsu Gaiden (1999)",8.08,449,4223,17142
"Gosick",8.08,450,342,466096
"Haikyuu!! Movie 3: Sainou to Sense",8.08,451,2333,55675
"Hidamari Sketch: Sae Hiro Sotsugyou-hen",8.08,452,4916,11789
"Hololive Alternative",8.08,453,7658,4065
"Initial D Fifth Stage",8.08,454,1483,108041
"Koukyoushihen Eureka Seven",8.08,455,407,396488
"Kuroshitsuji: Book of Murder",8.08,456,850,205210
"Mahoutsukai no Yome",8.08,457,166,711909
"Omoide no Marnie",8.08,458,774,225011
"Shijou Saikyou no Deshi Kenichi",8.08,459,656,261923
"Stand By Me Doraemon",8.08,460,2873,37747
"World Trigger 2nd Season",8.08,461,1724,90523
"Yuusha-Ou GaoGaiGar Final",8.08,462,5653,8341
"Summer Wars",8.07,463,350,457309
"xxxHOLiC Shunmuki",8.07,464,2193,62255
"Fate/stay night: Unlimited Blade Works Prologue",8.07,465,632,269296
"Gintama: Dai Hanseikai",8.07,466,3147,31908
"Glass no Kamen (2005)",8.07,467,3071,33456
"Kill la Kill",8.07,468,47,1440213
"Kuroko no Basket Movie 4: Last Game",8.07,469,825,211105
"Boku no Hero Academia the Movie 2: Heroes:Rising",8.06,470,415,392453
"City Hunter 2",8.06,471,3836,21372
"Detective Conan Movie 10: Requiem of the Detectives",8.06,472,2558,46866
"Eve no Jikan",8.06,473,1055,162807
"Kamisama Hajimemashita",8.06,474,308,515086
"Kara no Kyoukai 3: Tsuukaku Zanryuu",8.06,475,896,196762
"Kyou kara Ore wa!!",8.06,476,3471,26390
"Love Live! Superstar!!",8.06,477,2936,36151
"Shokugeki no Souma: San no Sara",8.06,478,149,784640
"Yahari Ore no Seishun Love Comedy wa Machigatteiru. Zoku OVA",8.06,479,892,197323
"Zombieland Saga: Revenge",8.06,480,1151,151354
"Paprika",8.05,481,385,418812
